"90.76,-90.09,-21.06"
"90.27,-92.56,-20.20"
"89.14,-90.84,-20.73"
"91.01,-89.17,-20.27"
"91.77,-88.76,-20.15"
"90.72,-93.06,-19.23"
"91.61,-92.99,-17.53"
"92.27,-94.60,-17.27"
"92.17,-94.42,-16.70"
"92.78,-95.48,-14.24"
"89.66,-97.07,-14.05"
"87.95,-96.60,-13.62"
"89.31,-96.63,-12.09"
"85.59,-98.82,-11.35"
"84.26,-98.74,-10.89"
"84.52,-98.95,-10.96"
"84.38,-98.70,-11.33"
"84.32,-98.81,-11.67"
"84.34,-98.75,-11.62"
"84.36,-98.72,-11.47"
"84.35,-98.77,-11.41"
"84.37,-98.69,-11.53"
"84.35,-98.74,-11.71"
"84.30,-98.78,-11.69"
"84.31,-98.76,-11.63"
"84.35,-98.80,-11.74"
"84.36,-98.82,-12.18"
"84.35,-98.84,-12.54"
"84.32,-98.87,-12.92"
"84.23,-98.89,-13.24"
"83.89,-98.60,-13.41"
"82.15,-92.83,-13.74"
"81.44,-92.70,-13.92"
"81.14,-92.71,-13.97"
"80.88,-92.68,-14.07"
"80.76,-92.62,-14.19"
"80.61,-92.67,-14.22"
"80.38,-92.66,-14.33"
"80.25,-92.56,-14.44"
"80.20,-92.56,-14.51"
"80.13,-92.66,-14.55"
"80.07,-92.60,-14.58"
"79.93,-92.50,-14.40"
"79.09,-91.17,-15.48"
"80.89,-92.53,-14.52"
"79.41,-90.46,-14.86"
"79.46,-92.98,-14.73"
"79.53,-92.63,-14.96"
"79.04,-90.34,-15.95"
"80.39,-92.97,-15.29"
"79.71,-90.97,-16.48"
"80.60,-91.40,-15.39"
"79.62,-88.16,-15.99"
"80.08,-90.12,-16.02"
"81.29,-91.70,-15.86"
"81.15,-92.64,-15.98"
"81.20,-92.57,-15.59"
"80.58,-92.39,-15.62"
"80.73,-92.83,-15.49"
"80.21,-92.64,-15.60"
"80.79,-93.61,-15.99"
"81.00,-91.10,-16.75"
"80.68,-89.48,-17.09"
"80.53,-90.59,-16.49"
"80.87,-90.79,-15.71"
"80.79,-88.76,-17.14"
"81.82,-89.76,-15.43"
"80.37,-88.20,-15.49"
"79.88,-89.76,-16.11"
"80.98,-91.73,-15.30"
"80.12,-90.22,-16.37"
"81.41,-92.44,-14.40"
"79.96,-89.18,-15.81"
"79.56,-90.57,-15.38"
"79.68,-91.07,-14.99"
"80.14,-93.04,-16.01"
"80.19,-93.01,-16.04"
"79.77,-96.14,-14.78"
"79.03,-95.96,-15.14"
"79.64,-97.28,-14.29"
"78.81,-95.13,-15.64"
"80.61,-96.57,-14.39"
"79.49,-93.54,-16.28"
"80.26,-93.94,-15.16"
"79.65,-95.40,-14.54"
"79.26,-97.58,-13.94"
"78.95,-96.99,-13.95"
"79.18,-97.33,-14.16"
"78.94,-96.95,-14.15"
"79.09,-97.12,-14.05"
"78.95,-96.85,-13.89"
"78.96,-96.95,-13.93"
"78.86,-96.88,-13.99"
"78.98,-96.92,-14.00"
"78.90,-96.93,-13.93"
"78.89,-96.90,-13.87"
"78.89,-96.89,-13.89"
"78.87,-96.83,-13.85"
