8.263,0.049,0.001,0.951
8.394,0.044,0.005,0.957
8.525,0.043,0.001,0.957
8.656,0.045,0.007,0.956
8.787,0.048,0.010,0.955
8.919,0.053,0.012,0.963
9.050,0.052,0.005,0.962
9.181,0.047,0.006,0.964
9.312,0.047,0.004,0.965
9.443,0.039,0.003,0.956
9.574,0.048,-0.003,0.955
9.706,0.046,0.010,0.965
9.837,0.047,-0.003,0.958
9.969,0.044,0.013,0.960
10.100,0.041,-0.002,0.960
10.233,0.047,0.009,0.957
10.366,0.048,0.001,0.958
10.499,0.048,0.006,0.960
10.631,0.047,-0.001,0.961
10.764,0.050,-0.005,0.974
10.897,0.049,0.003,0.958
11.029,0.050,0.009,0.959
11.161,0.049,0.007,0.958
11.293,0.046,0.004,0.958
11.426,0.049,0.006,0.964
11.558,0.046,0.007,0.969
11.691,0.042,0.002,0.961
11.823,0.044,0.006,0.955
11.955,0.046,0.002,0.954
12.087,0.047,0.008,0.959
12.219,0.044,0.001,0.959
12.351,0.054,0.008,0.963
12.483,0.049,0.001,0.958
12.615,0.043,0.003,0.968
12.748,0.049,0.004,0.954
12.880,0.049,0.008,0.963
13.012,0.046,0.001,0.960
13.145,0.045,0.004,0.961
13.277,0.042,0.008,0.955
13.409,0.046,0.005,0.963
13.541,0.046,0.003,0.973
13.673,0.047,0.007,0.965
13.805,0.042,0.003,0.948
13.938,0.043,-0.004,0.959
14.071,0.044,0.003,0.957
14.203,0.041,0.006,0.961
14.336,0.045,0.006,0.961
14.468,0.051,-0.005,0.961
14.601,0.043,0.007,0.961
14.733,0.041,0.000,0.965
14.865,0.054,0.006,0.964
14.997,0.043,0.002,0.957
15.130,0.051,0.009,0.958
15.262,0.041,0.000,0.967
15.394,0.049,0.004,0.959
15.526,0.049,0.001,0.915
15.659,0.048,0.003,0.954
15.791,0.048,0.004,0.958
15.923,0.050,0.004,0.953
16.055,0.047,-0.002,0.964
16.188,0.047,0.003,0.958
16.321,0.042,-0.001,0.958
16.454,0.044,0.002,0.960
16.586,0.043,0.007,0.969
16.718,0.046,0.004,0.964
16.850,0.044,-0.001,0.955
16.984,0.042,0.004,0.952
17.116,0.044,0.005,0.958
17.248,0.050,0.005,0.950
17.380,0.047,0.010,0.950
17.513,0.050,0.006,0.961
17.645,0.049,0.004,0.965
17.777,0.050,0.009,0.963
17.909,0.048,0.006,0.956
18.041,0.048,0.002,0.957
18.173,0.048,0.000,0.966
18.306,0.051,0.007,0.960
18.438,0.046,0.003,0.959
18.570,0.045,0.003,0.960
18.702,0.042,0.004,0.949
18.835,0.047,0.000,0.957
18.967,0.049,-0.002,0.961
19.100,0.044,0.008,0.958
19.232,0.047,-0.001,0.953
19.365,0.040,0.006,0.952
19.497,0.050,0.006,0.959
19.630,0.047,0.008,0.960
19.762,0.044,0.003,0.960
19.894,0.045,0.000,0.959
20.026,0.043,0.007,0.957
20.159,0.040,0.005,0.958
20.291,0.042,0.006,0.955
20.423,0.046,0.005,0.957
20.555,0.043,0.005,0.948
20.687,0.052,0.000,0.954
20.819,0.044,0.003,0.960
20.952,0.044,0.000,0.951
21.084,0.043,0.002,0.965
21.216,0.042,0.005,0.955
21.348,0.041,0.003,0.954
21.481,0.049,0.000,0.961
21.613,0.044,-0.001,0.953
21.746,0.046,0.004,0.954
21.878,0.047,0.004,0.967
22.010,0.046,0.005,0.963
22.142,0.044,0.004,0.963
22.275,0.042,0.004,0.964
22.407,0.045,0.001,0.951
22.539,0.052,-0.000,0.963
22.673,0.048,0.003,0.957
22.805,0.043,0.005,0.955
22.937,0.049,0.010,0.954
23.069,0.047,0.006,0.964
23.201,0.041,0.006,0.959
23.333,0.050,0.003,0.958
23.465,0.047,0.003,0.970
23.598,0.049,0.005,0.961
23.730,0.042,0.002,0.970
23.863,0.039,-0.005,0.955
23.996,0.039,0.005,0.956
24.128,0.046,-0.002,0.954
24.261,0.048,0.001,0.967
24.393,0.050,-0.003,0.938
24.526,0.056,-0.003,0.966
24.659,-0.001,-0.010,1.298
24.795,0.057,0.028,0.908
24.927,0.049,-0.001,0.959
25.060,0.046,0.007,0.955
25.192,0.044,0.004,0.963
25.324,0.043,0.004,0.959
25.456,0.045,0.004,0.960
25.588,0.048,0.002,0.956
25.720,0.048,0.004,0.960
25.852,0.046,-0.001,0.959
25.987,0.040,0.003,0.954
26.119,0.043,0.004,0.962
26.251,0.046,0.003,0.958
26.383,0.051,0.004,0.958
26.515,0.041,-0.002,0.952
