0.975,-0.019,-0.074
140.328,-0.972,-0.032,-0.110
140.385,-0.972,-0.021,-0.121
140.441,-0.979,-0.014,-0.076
140.498,-0.960,-0.025,-0.103
140.555,-0.965,-0.018,-0.067
140.611,-0.971,-0.024,-0.071
140.667,-0.974,-0.021,-0.072
140.725,-0.980,-0.026,-0.060
140.781,-0.965,-0.022,-0.080
140.837,-0.967,-0.019,-0.038
140.894,-0.978,-0.027,-0.077
140.951,-0.962,-0.015,-0.079
141.007,-0.968,-0.025,-0.116
141.064,-0.964,-0.023,-0.091
141.120,-0.977,-0.022,-0.074
141.177,-0.977,-0.026,-0.085
141.234,-0.964,-0.012,-0.073
141.290,-0.975,-0.026,-0.096
141.346,-0.975,-0.025,-0.044
141.404,-0.963,-0.027,-0.056
141.460,-0.971,-0.041,-0.083
141.516,-0.975,-0.015,-0.082
141.573,-0.971,-0.008,-0.065
141.630,-0.969,-0.023,-0.112
141.686,-0.966,-0.025,-0.101
141.743,-0.972,-0.027,-0.092
141.799,-0.974,-0.023,-0.089
141.856,-0.965,-0.018,-0.087
141.913,-0.973,-0.021,-0.077
141.969,-0.967,-0.026,-0.096
142.025,-0.979,-0.022,-0.080
142.083,-0.975,-0.029,-0.075
142.139,-0.972,-0.025,-0.071
142.195,-0.974,-0.018,-0.091
142.252,-0.974,-0.027,-0.119
142.309,-0.974,-0.014,-0.083
142.365,-0.970,-0.018,-0.094
142.422,-0.970,-0.019,-0.101
142.478,-0.965,-0.027,-0.057
142.535,-0.967,-0.030,-0.108
142.592,-0.981,-0.018,-0.108
142.648,-0.976,-0.021,-0.078
142.704,-0.974,-0.026,-0.103
142.761,-0.961,-0.023,-0.079
142.818,-0.972,-0.018,-0.098
142.874,-0.971,-0.015,-0.066
142.930,-0.972,-0.024,-0.091
142.988,-0.966,-0.022,-0.100
143.044,-0.962,-0.026,-0.060
143.100,-0.978,-0.019,-0.093
143.157,-0.969,-0.020,-0.096
143.214,-0.970,-0.022,-0.118
143.270,-0.972,-0.017,-0.101
143.327,-0.969,-0.027,-0.079
143.383,-0.979,-0.024,-0.112
143.440,-0.971,-0.020,-0.083
143.497,-0.963,-0.020,-0.052
143.553,-0.971,-0.025,-0.075
143.609,-0.964,-0.021,-0.088
143.667,-0.974,-0.030,-0.060
143.723,-0.970,-0.023,-0.092
143.779,-0.969,-0.029,-0.097
143.836,-0.969,-0.023,-0.089
143.893,-0.970,-0.018,-0.112
143.949,-0.973,-0.026,-0.097
144.006,-0.968,-0.017,-0.044
144.062,-0.972,-0.022,-0.105
144.119,-0.971,-0.023,-0.103
144.176,-0.969,-0.021,-0.082
144.232,-0.969,-0.028,-0.062
144.288,-0.971,-0.023,-0.079
144.346,-0.973,-0.025,-0.093
144.402,-0.968,-0.023,-0.076
144.458,-0.970,-0.023,-0.102
