-0.969,0.021,-0.096
492.041,-0.970,0.013,-0.099
492.226,-0.971,0.016,-0.098
492.412,-0.970,0.015,-0.114
492.598,-0.977,0.013,-0.115
492.783,-0.968,0.020,-0.080
492.968,-0.968,0.025,-0.081
493.154,-0.974,0.016,-0.090
493.339,-0.969,0.012,-0.079
493.526,-0.970,0.020,-0.069
493.711,-0.981,0.024,-0.102
493.896,-0.975,0.020,-0.085
494.082,-0.967,0.006,-0.078
494.267,-0.968,0.022,-0.099
494.452,-0.975,0.015,-0.082
494.639,-0.969,0.016,-0.116
494.824,-0.971,0.019,-0.083
495.009,-0.970,0.015,-0.083
495.195,-0.967,0.016,-0.095
495.380,-0.973,0.016,-0.085
495.565,-0.970,0.020,-0.089
495.752,-0.971,0.014,-0.100
495.937,-0.972,0.012,-0.116
496.122,-0.973,0.013,-0.094
496.308,-0.968,0.021,-0.112
496.493,-0.973,0.015,-0.133
496.679,-0.970,0.017,-0.071
496.865,-0.963,0.025,-0.083
497.050,-0.968,0.017,-0.109
497.235,-0.968,0.019,-0.112
497.421,-0.968,0.018,-0.098
497.606,-0.973,0.013,-0.100
497.793,-0.971,0.016,-0.084
497.978,-0.965,0.021,-0.063
498.163,-0.973,0.024,-0.104
498.349,-0.976,0.017,-0.083
498.534,-0.967,0.012,-0.091
498.719,-0.964,0.017,-0.095
498.906,-0.977,0.027,-0.085
499.091,-0.969,0.013,-0.108
499.276,-0.967,0.027,-0.088
499.462,-0.975,0.024,-0.097
499.647,-0.974,0.015,-0.098
499.832,-0.969,0.014,-0.132
500.019,-0.966,0.027,-0.084
500.204,-0.964,0.019,-0.108
500.389,-0.966,0.023,-0.064
500.575,-0.966,0.012,-0.114
500.760,-0.971,0.016,-0.089
500.945,-0.977,0.026,-0.103
501.132,-0.971,0.018,-0.129
501.317,-0.964,0.019,-0.082
501.502,-0.977,0.015,-0.098
501.688,-0.973,0.018,-0.104
501.873,-0.971,0.016,-0.107
502.059,-0.970,0.018,-0.079
502.245,-0.973,0.022,-0.101
502.430,-0.969,0.019,-0.069
502.616,-0.975,0.014,-0.098
502.801,-0.972,0.021,-0.098
502.986,-0.973,0.018,-0.092
503.172,-0.978,0.015,-0.103
503.358,-0.965,0.022,-0.076
503.543,-0.970,0.019,-0.102
503.729,-0.974,0.018,-0.082
503.914,-0.967,0.015,-0.102
504.099,-0.965,0.021,-0.075
504.286,-0.977,0.021,-0.114
504.471,-0.965,0.017,-0.092
504.656,-0.968,0.022,-0.079
504.842,-0.978,0.017,-0.069
505.027,-0.966,0.022,-0.116
505.212,-0.972,0.012,-0.106
505.399,-0.962,0.018,-0.070
505.584,-0.974,0.018,-0.088
505.769,-0.966,0.020,-0.113
505.955,-0.972,0.013,-0.113
506.140,-0.963,0.018,-0.090
506.326,-0.970,0.022,-0.090
506.512,-0.974,0.016,-0.098
506.697,-0.968,0.016,-0.082
506.883,-0.974,0.017,-0.091
507.068,-0.976,0.025,-0.105
507.253,-0.972,0.013,-0.099
507.439,-0.969,0.022,-0.070
507.625,-0.976,0.018,-0.104
507.810,-0.964,0.015,-0.088
507.996,-0.973,0.015,-0.098
508.181,-0.982,0.019,-0.083
508.366,-0.978,0.025,-0.089
508.552,-0.971,0.011,-0.086
508.738,-0.972,0.017,-0.110
508.923,-0.975,0.017,-0.106
509.109,-0.967,0.016,-0.098
509.294,-0.969,0.018,-0.101
509.479,-0.961,0.026,-0.080
509.666,-0.979,0.014,-0.085
509.851,-0.974,0.024,-0.098
510.036,-0.978,0.017,-0.122
510.222,-0.968,0.023,-0.091
510.407,-0.964,0.020,-0.093
510.593,-0.968,0.020,-0.086
510.779,-0.976,0.021,-0.090
510.964,-0.967,0.016,-0.072
511.150,-0.973,0.011,-0.087
511.335,-0.970,0.015,-0.119
511.520,-0.966,0.021,-0.077
511.706,-0.973,0.014,-0.073
511.892,-0.970,0.008,-0.098
512.077,-0.967,0.012,-0.124
512.263,-0.968,0.018,-0.096
512.448,-0.972,0.022,-0.084
512.633,-0.967,0.016,-0.102
512.819,-0.967,0.012,-0.114
513.005,-0.967,0.021,-0.093
513.190,-0.976,0.015,-0.101
513.376,-0.971,0.021,-0.108
513.561,-0.973,0.019,-0.082
513.746,-0.964,0.013,-0.109
513.932,-0.967,0.019,-0.093
514.118,-0.973,0.019,-0.091
514.304,-0.968,0.017,-0.079
514.489,-0.968,0.017,-0.106
514.674,-0.970,0.019,-0.076
514.860,-0.969,0.012,-0.080
515.045,-0.970,0.020,-0.079
515.231,-0.977,0.018,-0.098
515.417,-0.979,0.023,-0.079
515.602,-0.972,0.013,-0.095
515.787,-0.966,0.022,-0.108
515.973,-0.977,0.020,-0.096
516.158,-0.971,0.015,-0.089
516.344,-0.961,0.017,-0.100
516.530,-0.974,0.013,-0.101
516.715,-0.971,0.023,-0.101
516.900,-0.971,0.016,-0.106
517.086,-0.968,0.018,-0.094
517.271,-0.971,0.019,-0.062
517.457,-0.976,0.026,-0.083
517.643,-0.972,0.024,-0.134
517.828,-0.964,0.023,-0.070
518.013,-0.971,0.017,-0.059
518.199,-0.975,0.012,-0.093
518.384,-0.966,0.017,-0.104
518.571,-0.969,0.018,-0.063
518.756,-0.975,0.020,-0.090
518.941,-0.965,0.020,-0.109
519.127,-0.971,0.022,-0.084
519.312,-0.970,0.018,-0.084
519.497,-0.970,0.017,-0.091
519.684,-0.969,0.013,-0.093
519.869,-0.971,0.015,-0.061
520.054,-0.963,0.020,-0.089
520.240,-0.972,0.016,-0.093
520.425,-0.970,0.019,-0.108
520.610,-0.966,0.017,-0.079
520.797,-0.976,0.021,-0.094
520.982,-0.971,0.016,-0.116
521.167,-0.964,0.009,-0.111
521.353,-0.971,0.011,-0.059
521.538,-0.972,0.019,-0.083
521.723,-0.978,0.015,-0.125
521.910,-0.969,0.014,-0.072
522.095,-0.972,0.020,-0.065
522.280,-0.964,0.021,-0.102
522.466,-0.973,0.009,-0.111
522.651,-0.968,0.020,-0.087
522.836,-0.978,0.021,-0.089
523.023,-0.970,0.014,-0.104
523.208,-0.974,0.008,-0.107
523.394,-0.973,0.019,-0.071
523.579,-0.969,0.017,-0.096
523.764,-0.978,0.020,-0.116
523.950,-0.968,0.014,-0.103
524.136,-0.974,0.023,-0.074
524.321,-0.975,0.024,-0.096
524.507,-0.970,0.021,-0.106
